Jan-1,01-01,Genesis 1,Matthew 1,Ezra 1,Acts 1
Jan-2,01-02,Genesis 2,Matthew 2,Ezra 2,Acts 2
Jan-3,01-03,Genesis 3,Matthew 3,Ezra 3,Acts 3
Jan-4,01-04,Genesis 4,Matthew 4,Ezra 4,Acts 4
Jan-5,01-05,Genesis 5,Matthew 5,Ezra 5,Acts 5
Jan-6,01-06,Genesis 6,Matthew 6,Ezra 6,Acts 6
Jan-7,01-07,Genesis 7,Matthew 7,Ezra 7,Acts 7
Jan-8,01-08,Genesis 8,Matthew 8,Ezra 8,Acts 8
Jan-9,01-09,Genesis 9-10,Matthew 9,Ezra 9,Acts 9
Jan-10,01-10,Genesis 11,Matthew 10,Ezra 10,Acts 10
Jan-11,01-11,Genesis 12,Matthew 11,Nehemiah 1,Acts 11
Jan-12,01-12,Genesis 13,Matthew 12,Nehemiah 2,Acts 12
Jan-13,01-13,Genesis 14,Matthew 13,Nehemiah 3,Acts 13
Jan-14,01-14,Genesis 15,Matthew 14,Nehemiah 4,Acts 14
Jan-15,01-15,Genesis 16,Matthew 15,Nehemiah 5,Acts 15
Jan-16,01-16,Genesis 17,Matthew 16,Nehemiah 6,Acts 16
Jan-17,01-17,Genesis 18,Matthew 17,Nehemiah 7,Acts 17
Jan-18,01-18,Genesis 19,Matthew 18,Nehemiah 8,Acts 18
Jan-19,01-19,Genesis 20,Matthew 19,Nehemiah 9,Acts 19
Jan-20,01-20,Genesis 21,Matthew 20,Nehemiah 10,Acts 20
Jan-21,01-21,Genesis 22,Matthew 21,Nehemiah 11,Acts 21
Jan-22,01-22,Genesis 23,Matthew 22,Nehemiah 12,Acts 22
Jan-23,01-23,Genesis 24,Matthew 23,Nehemiah 13,Acts 23
Jan-24,01-24,Genesis 25,Matthew 24,Esther 1,Acts 24
Jan-25,01-25,Genesis 26,Matthew 25,Esther 2,Acts 25
Jan-26,01-26,Genesis 27,Matthew 26,Esther 3,Acts 26
Jan-27,01-27,Genesis 28,Matthew 27,Esther 4,Acts 27
Jan-28,01-28,Genesis 29,Matthew 28,Esther 5,Acts 28
Jan-29,01-29,Genesis 30,Mark 1,Esther 6,Romans 1
Jan-30,01-30,Genesis 31,Mark 2,Esther 7,Romans 2
Jan-31,01-31,Genesis 32,Mark 3,Esther 8,Romans 3
Feb-1,02-01,Genesis 33,Mark 4,Esther 9 - 10,Romans 4
Feb-2,02-02,Genesis 34,Mark 5,Job 1,Romans 5
Feb-3,02-03,Genesis 35-36,Mark 6,Job 2,Romans 6
Feb-4,02-04,Genesis 37,Mark 7,Job 3,Romans 7
Feb-5,02-05,Genesis 38,Mark 8,Job 4,Romans 8
Feb-6,02-06,Genesis 39,Mark 9,Job 5,Romans 9
Feb-7,02-07,Genesis 40,Mark 10,Job 6,Romans 10
Feb-8,02-08,Genesis 41,Mark 11,Job 7,Romans 11
Feb-9,02-09,Genesis 42,Mark 12,Job 8,Romans 12
Feb-10,02-10,Genesis 43,Mark 13,Job 9,Romans 13
Feb-11,02-11,Genesis 44,Mark 14,Job 10,Romans 14
Feb-12,02-12,Genesis 45,Mark 15,Job 11,Romans 15
Feb-13,02-13,Genesis 46,Mark 16,Job 12,Romans 16
Feb-14,02-14,Genesis 47,Luke 1:1-38,Job 13,1 Corinthians 1
Feb-15,02-15,Genesis 48,Luke 1:39-80,Job 14,1 Corinthians 2
Feb-16,02-16,Genesis 49,Luke 2,Job 15,1 Corinthians 3
Feb-17,02-17,Genesis 50,Luke 3,Job 16-17,1 Corinthians 4
Feb-18,02-18,Exodus 1,Luke 4,Job 18,1 Corinthians 5
Feb-19,02-19,Exodus 2,Luke 5,Job 19,1 Corinthians 6
Feb-20,02-20,Exodus 3,Luke 6,Job 20,1 Corinthians 7
Feb-21,02-21,Exodus 4,Luke 7,Job 21,1 Corinthians 8
Feb-22,02-22,Exodus 5,Luke 8,Job 22,1 Corinthians 9
Feb-23,02-23,Exodus 6,Luke 9,Job 23,1 Corinthians 10
Feb-24,02-24,Exodus 7,Luke 10,Job 24,1 Corinthians 11
Feb-25,02-25,Exodus 8,Luke 11,Job 25-26,1 Corinthians 12
Feb-26,02-26,Exodus 9,Luke 12,Job 27,1 Corinthians 13
Feb-27,02-27,Exodus 10,Luke 13,Job 28,1 Corinthians 14
Feb-28,02-28,Exodus 11:1-12:21,Luke 14,Job 29,1 Corinthians 15
Mar-1,03-01,Exodus 12:22-51,Luke 15,Job 30,1 Corinthians 16
Mar-2,03-02,Exodus 13,Luke 16,Job 31,2 Corinthians 1
Mar-3,03-03,Exodus 14,Luke 17,Job 32,2 Corinthians 2
Mar-4,03-04,Exodus 15,Luke 18,Job 33,2 Corinthians 3
Mar-5,03-05,Exodus 16,Luke 19,Job 34,2 Corinthians 4
Mar-6,03-06,Exodus 17,Luke 20,Job 35,2 Corinthians 5
Mar-7,03-07,Exodus 18,Luke 21,Job 36,2 Corinthians 6
Mar-8,03-08,Exodus 19,Luke 22,Job 37,2 Corinthians 7
Mar-9,03-09,Exodus 20,Luke 23,Job 38,2 Corinthians 8
Mar-10,03-10,Exodus 21,Luke 24,Job 39,2 Corinthians 9
Mar-11,03-11,Exodus 22,John 1,Job 40,2 Corinthians 10
Mar-12,03-12,Exodus 23,John 2,Job 41,2 Corinthians 11
Mar-13,03-13,Exodus 24,John 3,Job 42,2 Corinthians 12
Mar-14,03-14,Exodus 25,John 4,Proverbs 1,2 Corinthians 13
Mar-15,03-15,Exodus 26,John 5,Proverbs 2,Galatians 1
Mar-16,03-16,Exodus 27,John 6,Proverbs 3,Galatians 2
Mar-17,03-17,Exodus 28,John 7,Proverbs 4,Galatians 3
Mar-18,03-18,Exodus 29,John 8,Proverbs 5,Galatians 4
Mar-19,03-19,Exodus 30,John 9,Proverbs 6,Galatians 5
Mar-20,03-20,Exodus 31,John 10,Proverbs 7,Galatians 6
Mar-21,03-21,Exodus 32,John 11,Proverbs 8,Ephesians 1
Mar-22,03-22,Exodus 33,John 12,Proverbs 9,Ephesians 2
Mar-23,03-23,Exodus 34,John 13,Proverbs 10,Ephesians 3
Mar-24,03-24,Exodus 35,John 14,Proverbs 11,Ephesians 4
Mar-25,03-25,Exodus 36,John 15,Proverbs 12,Ephesians 5
Mar-26,03-26,Exodus 37,John 16,Proverbs 13,Ephesians 6
Mar-27,03-27,Exodus 38,John 17,Proverbs 14,Philippians 1
Mar-28,03-28,Exodus 39,John 18,Proverbs 15,Philippians 2
Mar-29,03-29,Exodus 40,John 19,Proverbs 16,Philippians 3
Mar-30,03-30,Leviticus 1,John 20,Proverbs 17,Philippians 4
Mar-31,03-31,Leviticus 2-3,John 21,Proverbs 18,Colossians 1
Apr-1,04-01,Leviticus 4,Psalms 1-2,Proverbs 19,Colossians 2
Apr-2,04-02,Leviticus 5,Psalms 3-4,Proverbs 20,Colossians 3
Apr-3,04-03,Leviticus 6,Psalms 5-6,Proverbs 21,Colossians 4
Apr-4,04-04,Leviticus 7,Psalms 7-8,Proverbs 22,1 Thessalonians 1
Apr-5,04-05,Leviticus 8,Psalms 9,Proverbs 23,1 Thessalonians 2
Apr-6,04-06,Leviticus 9,Psalms 10,Proverbs 24,1 Thessalonians 3
Apr-7,04-07,Leviticus 10,Psalms 11-12,Proverbs 25,1 Thessalonians 4
Apr-8,04-08,Leviticus 11-12,Psalms 13-14,Proverbs 26,1 Thessalonians 5
Apr-9,04-09,Leviticus 13,Psalms 15-16,Proverbs 27,2 Thessalonians 1
Apr-10,04-10,Leviticus 14,Psalms 17,Proverbs 28,2 Thessalonians 2
Apr-11,04-11,Leviticus 15,Psalms 18,Proverbs 29,2 Thessalonians 3
Apr-12,04-12,Leviticus 16,Psalms 19,Proverbs 30,1 Timothy 1
Apr-13,04-13,Leviticus 17,Psalms 20-21,Proverbs 31,1 Timothy 2
Apr-14,04-14,Leviticus 18,Psalms 22,Ecclesiastes 1,1 Timothy 3
Apr-15,04-15,Leviticus 19,Psalms 23-24,Ecclesiastes 2,1 Timothy 4
Apr-16,04-16,Leviticus 20,Psalms 25,Ecclesiastes 3,1 Timothy 5
Apr-17,04-17,Leviticus 21,Psalms 26-27,Ecclesiastes 4,1 Timothy 6
Apr-18,04-18,Leviticus 22,Psalms 28-29,Ecclesiastes 5,2 Timothy 1
Apr-19,04-19,Leviticus 23,Psalms 30,Ecclesiastes 6,2 Timothy 2
Apr-20,04-20,Leviticus 24,Psalms 31,Ecclesiastes 7,2 Timothy 3
Apr-21,04-21,Leviticus 25,Psalms 32,Ecclesiastes 8,2 Timothy 4
Apr-22,04-22,Leviticus 26,Psalms 33,Ecclesiastes 9,Titus 1
Apr-23,04-23,Leviticus 27,Psalms 34,Ecclesiastes 10,Titus 2
Apr-24,04-24,Numbers 1,Psalms 35,Ecclesiastes 11,Titus 3
Apr-25,04-25,Numbers 2,Psalms 36,Ecclesiastes 12,Philemon
Apr-26,04-26,Numbers 3,Psalms 37,Song of Solomon 1,Hebrews 1
Apr-27,04-27,Numbers 4,Psalms 38,Song of Solomon 2,Hebrews 2
Apr-28,04-28,Numbers 5,Psalms 39,Song of Solomon 3,Hebrews 3
Apr-29,04-29,Numbers 6,Psalms 40-41,Song of Solomon 4,Hebrews 4
Apr-30,04-30,Numbers 7,Psalms 42-43,Song of Solomon 5,Hebrews 5
May-1,05-01,Numbers 8,Psalms 44,Song of Solomon 6,Hebrews 6
May-2,05-02,Numbers 9,Psalms 45,Song of Solomon 7,Hebrews 7
May-3,05-03,Numbers 10,Psalms 46-47,Song of Solomon 8,Hebrews 8
May-4,05-04,Numbers 11,Psalms 48,Isaiah 1,Hebrews 9
May-5,05-05,Numbers 12-13,Psalms 49,Isaiah 2,Hebrews 10
May-6,05-06,Numbers 14,Psalms 50,Isaiah 3-4,Hebrews 11
May-7,05-07,Numbers 15,Psalms 51,Isaiah 5,Hebrews 12
May-8,05-08,Numbers 16,Psalms 52-54,Isaiah 6,Hebrews 13
May-9,05-09,Numbers 17-18,Psalms 55,Isaiah 7,James 1
May-10,05-10,Numbers 19,Psalms 56-57,Isaiah 8:1-9:7,James 2
May-11,05-11,Numbers 20,Psalms 58-59,Isaiah 9:8-10:4,James 3
May-12,05-12,Numbers 21,Psalms 60-61,Isaiah 10:5-34,James 4
May-13,05-13,Numbers 22,Psalms 62-63,Isaiah 11-12,James 5
May-14,05-14,Numbers 23,Psalms 64-65,Isaiah 13,1 Peter 1
May-15,05-15,Numbers 24,Psalms 66-67,Isaiah 14,1 Peter 2
May-16,05-16,Numbers 25,Psalms 68,Isaiah 15,1 Peter 3
May-17,05-17,Numbers 26,Psalms 69,Isaiah 16,1 Peter 4
May-18,05-18,Numbers 27,Psalms 70-71,Isaiah 17-18,1 Peter 5
May-19,05-19,Numbers 28,Psalms 72,Isaiah 19-20,2 Peter 1
May-20,05-20,Numbers 29,Psalms 73,Isaiah 21,2 Peter 2
May-21,05-21,Numbers 30,Psalms 74,Isaiah 22,2 Peter 3
May-22,05-22,Numbers 31,Psalms 75-76,Isaiah 23,1 John 1
May-23,05-23,Numbers 32,Psalms 77,Isaiah 24,1 John 2
May-24,05-24,Numbers 33,Psalms 78:1-37,Isaiah 25,1 John 3
May-25,05-25,Numbers 34,Psalms 78:38-72,Isaiah 26,1 John 4
May-26,05-26,Numbers 35,Psalms 79,Isaiah 27,1 John 5
May-27,05-27,Numbers 36,Psalms 80,Isaiah 28,2 John 1
May-28,05-28,Deuteronomy 1,Psalms 81-82,Isaiah 29,3 John 1
May-29,05-29,Deuteronomy 2,Psalms 83-84,Isaiah 30,Jude
May-30,05-30,Deuteronomy 3,Psalms 85,Isaiah 31,Revelation 1
May-31,05-31,Deuteronomy 4,Psalms 86-87,Isaiah 32,Revelation 2
Jun-1,06-01,Deuteronomy 5,Psalms 88,Isaiah 33,Revelation 3
Jun-2,06-02,Deuteronomy 6,Psalms 89,Isaiah 34,Revelation 4
Jun-3,06-03,Deuteronomy 7,Psalms 90,Isaiah 35,Revelation 5
Jun-4,06-04,Deuteronomy 8,Psalms 91,Isaiah 36,Revelation 6
Jun-5,06-05,Deuteronomy 9,Psalms 92-93,Isaiah 37,Revelation 7
Jun-6,06-06,Deuteronomy 10,Psalms 94,Isaiah 38,Revelation 8
Jun-7,06-07,Deuteronomy 11,Psalms 95-96,Isaiah 39,Revelation 9
Jun-8,06-08,Deuteronomy 12,Psalms 97-98,Isaiah 40,Revelation 10
Jun-9,06-09,Deuteronomy 13-14,Psalms 99-101,Isaiah 41,Revelation 11
Jun-10,06-10,Deuteronomy 15,Psalms 102,Isaiah 42,Revelation 12
Jun-11,06-11,Deuteronomy 16,Psalms 103,Isaiah 43,Revelation 13
